"session_id","qualified_session_name","plan_step_index","profile_name","started_by","created_at","summary_status","duration","worker_time","bundle_time","num_workers","branch","commit_id","started_tests_count","passed_tests_count","failed_tests_count","pending_tests_count","skipped_tests_count","error_tests_count"
"1404257","1404257","","default","saychuk.andriy@gmail.com","2015-04-10 14:08:07 UTC","stopped","0","0","0","0","master","","0","0","0","0","0","0"
"1404226","1404226","","default","saychuk.andriy@gmail.com","2015-04-10 14:01:53 UTC","passed","5","10.0","0","2","master","3af20b1868113553cdf9d6b8b119017a1a1fc04b","0","2","0","0","0","0"
"1404223","1404223","","default","saychuk.andriy@gmail.com","2015-04-10 14:00:41 UTC","passed","35","70.0","0","2","master","3af20b1868113553cdf9d6b8b119017a1a1fc04b","0","2","0","0","0","0"
"1404209","1404209","","default","saychuk.andriy@gmail.com","2015-04-10 13:55:00 UTC","passed","13","26.0","0","2","master","a7f8c0cd1a398ab027e5369be87fcd0b9728f687","0","2","0","0","0","0"
"1404205","1404205","","default","saychuk.andriy@gmail.com","2015-04-10 13:53:10 UTC","passed","4","8.0","0","2","master","a7f8c0cd1a398ab027e5369be87fcd0b9728f687","0","2","0","0","0","0"
"1404196","1404196","","default","saychuk.andriy@gmail.com","2015-04-10 13:51:03 UTC","failed","1","2.0","0","2","master","25361f4fd3c4f0981ba310801b7120f3003d70f1","0","1","1","0","0","0"
"1404188","1404188","","default","saychuk.andriy@gmail.com","2015-04-10 13:49:36 UTC","unconfigured","0","0","0","0","master","594e39131509773a662c81b295870af50c44afde","0","0","0","0","0","0"
"1404186","1404186","","default","saychuk.andriy@gmail.com","2015-04-10 13:49:12 UTC","stopped","0","0","0","0","master","594e39131509773a662c81b295870af50c44afde","0","0","0","0","0","0"
"1404184","1404184","","default","saychuk.andriy@gmail.com","2015-04-10 13:48:17 UTC","unconfigured","0","0","0","0","master","594e39131509773a662c81b295870af50c44afde","0","0","0","0","0","0"
"1404170","1404170","","default","saychuk.andriy@gmail.com","2015-04-10 13:42:06 UTC","failed","0","0.0","0","2","master","c35602349991a6cc379ba0fff6978f9661b1155f","0","0","1","0","0","0"
"1404169","1404169","","default","saychuk.andriy@gmail.com","2015-04-10 13:41:23 UTC","failed","1","2.0","0","2","master","c35602349991a6cc379ba0fff6978f9661b1155f","0","1","1","0","0","0"
"1404140","1404140","","default","saychuk.andriy@gmail.com","2015-04-10 13:27:38 UTC","failed","89","91.0","87","2","master","3d046522f2be75c2a610187ef80d46f04a7ec5a9","0","1","1","0","0","0"
"1404111","1404111","","default","saychuk.andriy@gmail.com","2015-04-10 13:13:51 UTC","passed","89","93.0","85","2","master","ec973a6d085a7910f821f878c59d67a4e8dce2b6","0","2","0","0","0","0"
"1404110","1404110","","default","saychuk.andriy@gmail.com","2015-04-10 13:13:46 UTC","passed","84","88.0","80","2","master","ec973a6d085a7910f821f878c59d67a4e8dce2b6","0","2","0","0","0","0"
"1403942","1403942","","default","saychuk.andriy@gmail.com","2015-04-10 11:25:34 UTC","passed","82","82.0","82","2","master","42a7e95642f4e82153a8041951d88e737111eeda","0","1","0","0","0","0"
"1403941","1403941","","default","saychuk.andriy@gmail.com","2015-04-10 11:25:29 UTC","passed","83","83.0","83","2","master","42a7e95642f4e82153a8041951d88e737111eeda","0","1","0","0","0","0"
"1403820","1403820","","default","saychuk.andriy@gmail.com","2015-04-10 09:47:27 UTC","passed","84","84.0","84","2","master","2159b2ea93e45d32467049861b59ea6d18cb29e4","0","1","0","0","0","0"
"1403819","1403819","","default","saychuk.andriy@gmail.com","2015-04-10 09:47:22 UTC","passed","85","85.0","85","2","master","2159b2ea93e45d32467049861b59ea6d18cb29e4","0","1","0","0","0","0"
"1403812","1403812","","default","saychuk.andriy@gmail.com","2015-04-10 09:42:29 UTC","error","0","0.0","0","0","master","19654e97239f54cba4dbc7865ac20815c8edaaf9","0","0","0","0","0","1"
"1403811","1403811","","default","saychuk.andriy@gmail.com","2015-04-10 09:42:00 UTC","error","0","0.0","0","0","master","19654e97239f54cba4dbc7865ac20815c8edaaf9","0","0","0","0","0","1"
"1403774","1403774","","default","saychuk.andriy@gmail.com","2015-04-10 09:10:00 UTC","error","0","0.0","0","0","master","ff22588d81996878e178660456bd13350932d2f5","0","0","0","0","0","1"
"1403762","1403762","","default","saychuk.andriy@gmail.com","2015-04-10 08:59:55 UTC","stopped","0","0","0","0","master","","0","0","0","0","0","0"
